observed,lower,mean,upper,current_parcel,parcel_type,idx
0.3298030327674019,0.05341292965833636,0.1785107488173484,0.3036085679763605,RH_Cont_Par_2,activated,3
0.34085452160804064,0.08598602368840322,0.204312291716988,0.3226385597455728,RH_Cont_PFCl_15,activated,4
0.3626531264561023,0.11425522680083798,0.22417272939007005,0.3340902319793021,RH_DorsAttn_Post_15,activated,5
0.3603193845567366,0.1383080389131653,0.2420624504579566,0.3458168620027479,LH_DorsAttn_FEF_2,activated,6
0.3620199578868183,0.15623017163339853,0.2518597199531459,0.3474892682728932,LH_Cont_Par_5,activated,7
0.35827635551175485,0.176425206084343,0.2642527111407641,0.3520802161971853,LH_Cont_Par_6,activated,8
0.3558485136587177,0.19223883982866247,0.2745396967118377,0.3568405535950129,RH_Cont_PFCl_14,activated,9
0.3544173934598609,0.20658983565432176,0.28453319415898704,0.3624765526636523,RH_Cont_Par_6,activated,10
0.35153642404011315,0.2166213909906032,0.29120019937521024,0.3657790077598173,RH_Cont_PFCl_11,activated,11
0.3572010063606093,0.2269019462846539,0.2989126688701589,0.37092339145566405,LH_Cont_pCun_2,activated,12
0.3639991376179893,0.23100653982882316,0.3025791138677062,0.3741516879065893,LH_DorsAttn_Post_9,activated,13
0.3579007975723933,0.2433615979637929,0.3064345818947815,0.36950756582577016,LH_Cont_Par_4,activated,14
0.3677331103859639,0.2555555866811488,0.3144323673718053,0.3733091480624618,RH_Cont_Par_1,activated,15
0.3647522611539879,0.26086069608998125,0.3199600087618975,0.37905932143381377,LH_Cont_PFCmp_1,activated,16
0.3595662129727006,0.2633954349694939,0.3212127937965565,0.3790301526236192,RH_DorsAttn_FEF_2,activated,17
0.3596664654579461,0.2647462910796464,0.32227541612230465,0.3798045411649629,RH_Cont_PFCmp_2,activated,18
0.3568566797943249,0.2680173770690347,0.32560635104800306,0.3831953250269714,RH_DorsAttn_Post_8,activated,19
0.3600385053988667,0.2754664142052867,0.33040259438248176,0.3853387745596768,RH_DorsAttn_Post_11,activated,20
0.3595229797727777,0.2772655135573129,0.33227493407522346,0.387284354593134,RH_Cont_pCun_2,activated,21
0.3577039014630245,0.2832020079036005,0.3349365997167797,0.3866711915299589,LH_DorsAttn_FEF_4,activated,22
0.3509592135152884,0.28497193963182965,0.3356737305969724,0.3863755215621152,LH_Cont_Par_3,activated,23
0.3461459055280935,0.2882050266274723,0.3394767016831024,0.3907483767387325,LH_Default_PFC_20,activated,24
0.3487751865318769,0.29122644409864057,0.3403183130354543,0.3894101819722679,RH_SalVentAttn_FrOperIns_5,activated,25
0.3655323381141331,0.2912401608735334,0.341740658046674,0.39224115521981456,LH_Default_pCunPCC_2,deactivated,26
0.3655465180616387,0.2967890453019711,0.34580251246120064,0.3948159796204302,RH_SalVentAttn_TempOccPar_7,activated,27
0.37154916201668814,0.3008442049669457,0.34841146445324866,0.3959787239395516,RH_Cont_PFCl_5,activated,28
0.3703997012110393,0.29855433048616925,0.34694419933232395,0.39533406817847866,LH_Default_PFC_24,activated,29
0.3692597875579391,0.2998068255244087,0.34702726700978936,0.3942477084951701,LH_Default_pCunPCC_10,activated,30
0.3710205420768993,0.3051201438395104,0.3499242151162664,0.3947282863930224,RH_Cont_PFCl_9,activated,31
0.36893892359899694,0.3057909598345269,0.35084974212575576,0.3959085244169847,RH_SomMot_9,deactivated,32
0.36957275675266577,0.3073415404265935,0.3530937212946277,0.39884590216266186,LH_SalVentAttn_FrOperIns_3,activated,33
0.3643362235266233,0.30840595547355626,0.35398632721698003,0.3995666989604038,RH_Default_PFCdPFCm_12,activated,34
0.3649882512174526,0.3107064393396403,0.35474976822082177,0.3987930971020032,RH_SalVentAttn_PFCl_1,activated,35
0.3600873048253763,0.31149877724783465,0.3547835475523476,0.3980683178568605,RH_SalVentAttn_Med_4,activated,36
0.3590034828441721,0.3127686219740869,0.3570835750246108,0.4013985280751347,LH_Cont_PFCl_4,activated,37
0.3604150112225297,0.3115304341784209,0.3558174150376188,0.4001043958968167,RH_Cont_PFCl_3,activated,38
0.3614918195471392,0.31455620705453824,0.3579962362572425,0.4014362654599467,RH_Cont_Par_3,activated,39
0.35898690579003834,0.3149328195829284,0.3586824947740609,0.4024321699651935,RH_Cont_PFCl_13,activated,40
0.38409451895494173,0.31577669320629786,0.3594237475240716,0.4030708018418453,LH_Default_Par_7,activated,41
0.3827625354960362,0.31471214508753553,0.35762892399631824,0.40054570290510094,LH_Cont_pCun_1,activated,42
0.3950279334955012,0.317734245291363,0.36117576035272736,0.4046172754140917,RH_Cont_PFCmp_1,activated,43
0.3941060658844941,0.3186052004056884,0.3603789019907231,0.40215260357575777,LH_DorsAttn_Post_13,activated,44
0.39383740881592794,0.31640420774492484,0.3603687833278548,0.4043333589107847,LH_Default_pCunPCC_3,deactivated,45
0.3940279708449288,0.3191219989182906,0.3612448075117309,0.4033676161051712,RH_Cont_PFCv_1,activated,46
0.3971102749826267,0.321662817332937,0.3637004175210439,0.4057380177091509,RH_Default_Par_5,activated,47
0.3898002608153023,0.3225540018799395,0.3634018030481458,0.4042496042163521,RH_Cont_PFCl_12,activated,48
0.3908980437857047,0.3205991134945356,0.3634524047058784,0.4063056959172212,LH_SalVentAttn_FrOperIns_7,activated,49
0.38577865176054654,0.32363212358932586,0.3643900445327448,0.4051479654761637,LH_Cont_OFC_1,activated,50
0.3862424824640701,0.32457123500778395,0.3647212364070332,0.4048712378062824,RH_Vis_22,deactivated,51
0.38371434017326383,0.32477207062684577,0.3646633756903617,0.4045546807538777,LH_Vis_2,deactivated,52
0.38166569217584334,0.3244814009295462,0.3656372643745464,0.4067931278195465,RH_Cont_Temp_1,activated,53
0.3961530734856339,0.3248658502501424,0.3653374542600185,0.4058090582698946,LH_Cont_PFCl_5,activated,54
0.3915841755985072,0.3247169763129482,0.3653102287349737,0.4059034811569991,RH_Default_Par_4,activated,55
0.3886615143015573,0.3228812875663846,0.3650490496766432,0.4072168117869018,LH_Default_PFC_2,deactivated,56
0.3880452576839811,0.3262736538849193,0.3662018733296671,0.4061300927744148,RH_SomMot_11,deactivated,57
0.3880664158037052,0.3266734274728699,0.3679924953417065,0.40931156321054296,RH_SalVentAttn_FrOperIns_8,activated,58
0.3889641148942445,0.32620052741715105,0.367067165183312,0.4079338029494729,RH_SomMot_12,deactivated,59
