observed,lower,mean,upper,current_parcel,parcel_type,idx
0.3851358804490936,0.07677730784690831,0.2373299533328088,0.3978825988187093,RH_Cont_Par_2,activated,3
0.4413887867902565,0.12282150538303925,0.275894701151229,0.4289678969194187,RH_Cont_PFCl_15,activated,4
0.4751521527732032,0.1582155527167811,0.30359958565103,0.4489836185852789,RH_DorsAttn_Post_15,activated,5
0.4757677670925515,0.2000996813403369,0.3263992183389429,0.4526987553375488,LH_DorsAttn_FEF_2,activated,6
0.4728529144185182,0.2243566074616629,0.3460259327193537,0.4676952579770445,LH_Cont_Par_5,activated,7
0.4711145130948391,0.2503652606019567,0.3604791657934749,0.4705930709849931,LH_Cont_Par_6,activated,8
0.4712401529727062,0.2696411016383854,0.3729702510003536,0.4762994003623218,RH_Cont_PFCl_14,activated,9
0.4686643678981418,0.2874064115701309,0.3875477817673189,0.4876891519645068,RH_Cont_Par_6,activated,10
0.4690714326369007,0.30173385445947065,0.3950500324180165,0.4883662103765624,RH_Cont_PFCl_11,activated,11
0.475915093839522,0.3089809436468303,0.3994040629099801,0.4898271821731298,LH_Cont_pCun_2,activated,12
0.4838559782744404,0.3280177901083344,0.4131378359157871,0.4982578817232398,LH_DorsAttn_Post_9,activated,13
0.4792620892762497,0.33503978582477023,0.4165323002142262,0.4980248146036822,LH_Cont_Par_4,activated,14
0.4864788320079702,0.34503683283576875,0.42369780867011786,0.502358784504467,RH_Cont_Par_1,activated,15
0.4805752607693178,0.35676237365015,0.4297098426461245,0.5026573116420989,LH_Cont_PFCmp_1,activated,16
0.4818107867161032,0.36953968867495895,0.4385399562016871,0.5075402237284152,RH_DorsAttn_FEF_2,activated,17
0.4814852987376122,0.3745242513614781,0.4426333202523757,0.5107423891432734,RH_Cont_PFCmp_2,activated,18
0.4802891891502293,0.3818058793949584,0.4466563576280927,0.511506835861227,RH_DorsAttn_Post_8,activated,19
0.484289208327372,0.3878769167863999,0.4505033092806682,0.5131297017749366,RH_DorsAttn_Post_11,activated,20
0.4853719318475005,0.3935166400906844,0.454392677409812,0.5152687147289396,RH_Cont_pCun_2,activated,21
0.4837996017281094,0.39994813702451015,0.45784003962670095,0.5157319422288918,LH_DorsAttn_FEF_4,activated,22
0.4876135213141155,0.4001447839585209,0.458801999765033,0.517459215571545,LH_Cont_Par_3,activated,23
0.4864235232118528,0.4054202696322712,0.4634271722238471,0.5214340748154229,LH_Default_PFC_20,activated,24
0.4824085649240407,0.4104388575128165,0.4654178077485469,0.5203967579842773,RH_SalVentAttn_FrOperIns_5,activated,25
0.5194766978240075,0.41670662703019945,0.4696787075000206,0.5226507879698418,LH_Default_pCunPCC_2,deactivated,26
0.5210240788704753,0.4215084639253693,0.4738885936264912,0.526268723327613,RH_SalVentAttn_TempOccPar_7,activated,27
0.5224104415079572,0.42525315360904015,0.4751050880127813,0.5249570224165224,RH_Cont_PFCl_5,activated,28
0.5314617315793082,0.4260514450069625,0.4762851329733471,0.5265188209397317,LH_Default_PFC_24,activated,29
0.5324082952860116,0.4309757474881897,0.4785945668862058,0.5262133862842221,LH_Default_pCunPCC_10,activated,30
0.5320297761315124,0.4326092678504396,0.4805922574377616,0.5285752470250836,RH_Cont_PFCl_9,activated,31
0.5300305053950268,0.4371667888120536,0.48305062998737,0.5289344711626865,RH_SomMot_9,deactivated,32
0.5284000219844779,0.4392210809218025,0.4850433618009963,0.5308656426801902,LH_SalVentAttn_FrOperIns_3,activated,33
0.5284073388169379,0.4404692884487673,0.4860931001681705,0.5317169118875738,RH_Default_PFCdPFCm_12,activated,34
0.5292598091170733,0.44352972932323903,0.4883300419551685,0.5331303545870978,RH_SalVentAttn_PFCl_1,activated,35
0.5323360920528064,0.4455943308314335,0.490351946268491,0.5351095617055485,RH_SalVentAttn_Med_4,activated,36
0.5293788288809587,0.4453232957576224,0.4908892017068726,0.5364551076561228,LH_Cont_PFCl_4,activated,37
0.5298137175721276,0.4484437281395196,0.4929151988602554,0.5373866695809911,RH_Cont_PFCl_3,activated,38
0.5261599323289226,0.44966123589375895,0.4934049676232552,0.5371486993527514,RH_Cont_Par_3,activated,39
0.5263156357470826,0.4520106464912451,0.4954354063038983,0.5388601661165515,RH_Cont_PFCl_13,activated,40
0.5399236241130557,0.4551952734934582,0.4967240317115942,0.5382527899297301,LH_Default_Par_7,activated,41
0.5408763071903473,0.4579399389914695,0.4989289787348011,0.5399180184781327,LH_Cont_pCun_1,activated,42
0.5411764384314115,0.4556329794987605,0.4989955026175317,0.5423580257363029,RH_Cont_PFCmp_1,activated,43
0.5443140250800921,0.460331087837981,0.5004836640422607,0.5406362402465404,LH_DorsAttn_Post_13,activated,44
0.541883327976251,0.4596812580609997,0.500708287790434,0.5417353175198683,LH_Default_pCunPCC_3,deactivated,45
0.5512673776368402,0.4622688463987941,0.5031381461727372,0.5440074459466804,RH_Cont_PFCv_1,activated,46
0.5547404137238323,0.4650011527597962,0.5037074746801,0.5424137966004038,RH_Default_Par_5,activated,47
0.5566155327888528,0.4639723896945245,0.5035531499784848,0.5431339102624451,RH_Cont_PFCl_12,activated,48
0.5550572179181298,0.4661109779918229,0.5048966813441744,0.543682384696526,LH_SalVentAttn_FrOperIns_7,activated,49
0.5550750874645831,0.4643653270395857,0.5033342008489436,0.5423030746583016,LH_Cont_OFC_1,activated,50
0.5513007433873021,0.4686736443441574,0.5071766383098054,0.5456796322754535,RH_Vis_22,deactivated,51
0.5538605039185239,0.4695328979435508,0.5076965877535579,0.5458602775635649,LH_Vis_2,deactivated,52
0.5496322865399405,0.4676015474159632,0.5066305611599594,0.5456595749039557,RH_Cont_Temp_1,activated,53
0.5515108841971557,0.4701339127214024,0.5095875942465777,0.5490412757717531,LH_Cont_PFCl_5,activated,54
0.5455440187544268,0.4725265660165449,0.5096923198654023,0.5468580737142598,RH_Default_Par_4,activated,55
0.5468682094134516,0.4730856543712186,0.5089997828417072,0.5449139113121959,LH_Default_PFC_2,deactivated,56
0.5446470653520489,0.4735254753873313,0.5104770389436177,0.5474286024999042,RH_SomMot_11,deactivated,57
0.5489626858599099,0.473699028069031,0.5116418658927311,0.5495847037164312,RH_SalVentAttn_FrOperIns_8,activated,58
0.5473551274836529,0.4730833325743256,0.511780578589809,0.5504778246052924,RH_SomMot_12,deactivated,59
