observed,lower,mean,upper,current_parcel,parcel_type,idx
0.2877812966616789,0.15578877976234276,0.2396974964930901,0.3236062132238374,LH_Cont_Par_6,activated,8
0.28683493288228834,0.1749458991198481,0.2517755499639611,0.32860520080807404,RH_Cont_PFCl_14,activated,9
0.2837768179928607,0.18110059631685965,0.2571274209989696,0.3331542456810796,RH_Cont_Par_6,activated,10
0.2802164031858541,0.19182902308562605,0.26425267434497424,0.3366763256043224,RH_Cont_PFCl_11,activated,11
0.3081649929598335,0.2021159839628649,0.27104562688217604,0.3399752698014872,LH_Cont_pCun_2,activated,12
0.3248442558308122,0.20916257524838366,0.273649407340678,0.33813623943297233,LH_DorsAttn_Post_9,activated,13
0.3249821489100629,0.2131804307912392,0.2786212281888553,0.3440620255864715,LH_Cont_Par_4,activated,14
0.3251707950345752,0.2239765412548588,0.283589187230385,0.34320183320591124,RH_Cont_Par_1,activated,15
0.3312925001813375,0.22490733169048688,0.28474629639211024,0.3445852610937336,LH_Cont_PFCmp_1,activated,16
0.3286909545328304,0.22778986394514145,0.2885978538271384,0.34940584370913536,RH_DorsAttn_FEF_2,activated,17
0.3322240838726045,0.233290289998633,0.2900250486068528,0.3467598072150726,RH_Cont_PFCmp_2,activated,18
0.3318675089785399,0.2399428339843949,0.2940395512048499,0.3481362684253048,RH_DorsAttn_Post_8,activated,19
0.3308136543229454,0.2437769928185211,0.2964312903013336,0.3490855877841461,RH_DorsAttn_Post_11,activated,20
0.3322837263361834,0.2481586263133734,0.2993287103282454,0.35049879434311737,RH_Cont_pCun_2,activated,21
0.3301151055694824,0.2500232437426813,0.3010088734771321,0.3519945032115829,LH_DorsAttn_FEF_4,activated,22
0.3357489160972449,0.2486333448820997,0.30067503023062964,0.3527167155791596,LH_Cont_Par_3,activated,23
0.33447083053312665,0.2528975343495128,0.3032579431440115,0.3536183519385102,LH_Default_PFC_20,activated,24
0.3359611517409973,0.2580878378236875,0.3053040330114791,0.35252022819927065,RH_SalVentAttn_FrOperIns_5,activated,25
0.33560222700260595,0.2579175934952865,0.30707490587267816,0.35623221825006984,LH_Default_pCunPCC_2,deactivated,26
0.3331137238109513,0.2590792271009365,0.30760407011280894,0.3561289131246815,RH_SalVentAttn_TempOccPar_7,activated,27
0.3403054008670591,0.2622756383274163,0.3097630818553644,0.3572505253833125,RH_Cont_PFCl_5,activated,28
