observed,lower,mean,upper,current_parcel,parcel_type,idx
0.25189914777621714,0.03405962129019348,0.1349419424505095,0.23582426361082556,RH_Cont_Par_2,activated,3
0.261745228992662,0.05458894306936965,0.15019757895399946,0.2458062148386292,RH_Cont_PFCl_15,activated,4
0.25833556603317603,0.0768048270134129,0.1647645901560663,0.2527243532987197,RH_DorsAttn_Post_15,activated,5
0.2540739347177133,0.09235944729907154,0.17568186622128984,0.2590042851435081,LH_DorsAttn_FEF_2,activated,6
0.2466613817887728,0.10430916397862863,0.18444165895826148,0.2645741539378943,LH_Cont_Par_5,activated,7
0.2461574166048956,0.12062480018157196,0.1902354659914124,0.2598461318012528,LH_Cont_Par_6,activated,8
0.23996475567298614,0.13013420440991258,0.19853699238732134,0.2669397803647301,RH_Cont_PFCl_14,activated,9
0.2392972676887534,0.1343040335114038,0.20119651639671265,0.26808899928202146,RH_Cont_Par_6,activated,10
0.2391915814756521,0.14046881991489765,0.20449726400534068,0.2685257080957837,RH_Cont_PFCl_11,activated,11
0.24248229024626825,0.14900118984216126,0.20908328120132405,0.2691653725604869,LH_Cont_pCun_2,activated,12
0.2398992142202157,0.15174215961307808,0.2118162630000208,0.2718903663869635,LH_DorsAttn_Post_9,activated,13
0.23714764000172325,0.15645220199886528,0.2132950330304455,0.2701378640620257,LH_Cont_Par_4,activated,14
0.2335918123350355,0.16092817033111284,0.21701775912708512,0.2731073479230574,RH_Cont_Par_1,activated,15
0.23345462417125198,0.16600891644489213,0.2187277869898595,0.2714466575348269,LH_Cont_PFCmp_1,activated,16
0.2284359299066258,0.16848492430374476,0.22105282172142687,0.273620719139109,RH_DorsAttn_FEF_2,activated,17
0.22533677481950504,0.1712292051675875,0.22362501171352184,0.2760208182594562,RH_Cont_PFCmp_2,activated,18
0.2197199740097862,0.1717920676014585,0.22280113618950986,0.27381020477756124,RH_DorsAttn_Post_8,activated,19
0.2354284714077293,0.1751290304317189,0.22356111011814944,0.27199318980458,RH_DorsAttn_Post_11,activated,20
0.2326511662664744,0.17471998665145191,0.22382166886868168,0.2729233510859114,RH_Cont_pCun_2,activated,21
0.2293238755352155,0.1775538922282733,0.2250188454904397,0.2724837987526061,LH_DorsAttn_FEF_4,activated,22
0.2221490286961773,0.17936411310139092,0.2262353280786875,0.27310654305598403,LH_Cont_Par_3,activated,23
0.21987554492284933,0.1807280590602944,0.22725980156793454,0.2737915440755747,LH_Default_PFC_20,activated,24
0.24573977255957194,0.18034160803559696,0.2269037073949423,0.2734658067542876,RH_SalVentAttn_FrOperIns_5,activated,25
0.24498086541484346,0.18558907515588446,0.22875481158758496,0.27192054801928545,LH_Default_pCunPCC_2,deactivated,26
0.2501753501578906,0.18503072189270248,0.2295327109101676,0.2740346999276327,RH_SalVentAttn_TempOccPar_7,activated,27
0.2627245680635449,0.1817970594320557,0.22733258833566505,0.27286811723927434,RH_Cont_PFCl_5,activated,28
0.2572571048223219,0.18593660773586929,0.2293767907758673,0.2728169738158653,LH_Default_PFC_24,activated,29
0.2551250250205544,0.18279436207681574,0.2285215572936921,0.2742487525105684,LH_Default_pCunPCC_10,activated,30
0.2507240300227976,0.1858353750816852,0.2296540495230997,0.2734727239645143,RH_Cont_PFCl_9,activated,31
0.24367853923772506,0.1850073539318396,0.22877143808871134,0.2725355222455832,RH_SomMot_9,deactivated,32
0.2309508589305605,0.18355066151082128,0.2279223267728391,0.2722939920348569,LH_SalVentAttn_FrOperIns_3,activated,33
0.2378047919224721,0.1842777319807243,0.22828685424114897,0.2722959765015737,RH_Default_PFCdPFCm_12,activated,34
0.23084325476793155,0.1895654065010358,0.23039420961105075,0.2712230127210657,RH_SalVentAttn_PFCl_1,activated,35
0.23294787697312264,0.1864994754093509,0.2293125960144341,0.27212571661951723,RH_SalVentAttn_Med_4,activated,36
0.23331122304312116,0.18623024734863025,0.2295285944347004,0.2728269415207705,LH_Cont_PFCl_4,activated,37
0.2326861784740339,0.18530864850324308,0.22916123299442825,0.27301381748561343,RH_Cont_PFCl_3,activated,38
0.23168291439715866,0.18658558818977028,0.2289430043473985,0.2713004205050268,RH_Cont_Par_3,activated,39
0.2359630456563881,0.1845616517638766,0.229499160181234,0.2744366685985914,RH_Cont_PFCl_13,activated,40
0.23987826932840145,0.18590840119647892,0.2299741064319885,0.274039811667498,LH_Default_Par_7,activated,41
0.23500769055476695,0.18607763830253346,0.2289172380683611,0.2717568378341887,LH_Cont_pCun_1,activated,42
0.23714122462029005,0.18479597635157796,0.2272474188917333,0.2696988614318887,RH_Cont_PFCmp_1,activated,43
