"observed","lower","mean","upper","idx","parcel_type"
0.364887476463418,-0.051175429753529,0.118613229055299,0.288401887864127,1,"load-activated"
0.392084482830101,0.00183719611612518,0.177490194766164,0.353143193416202,2,"load-activated"
0.426194948818782,0.0549721394763588,0.22007702978183,0.385181920087301,3,"load-activated"
0.422477932387218,0.0936492529763162,0.254164332903267,0.414679412830218,4,"load-activated"
0.448730244777036,0.129287657561364,0.280672577224726,0.432057496888088,5,"load-activated"
0.480745375741617,0.165596969827358,0.304513406762742,0.443429843698125,6,"load-activated"
0.482071464465922,0.195657024385329,0.329579487559613,0.463501950733896,7,"load-activated"
0.480373287795311,0.218721988656905,0.34405344776014,0.469384906863375,8,"load-activated"
0.477241845098127,0.241916612855343,0.359409137509288,0.476901662163234,9,"load-activated"
0.47248470560635,0.254264492225424,0.367403689742015,0.480542887258606,10,"load-activated"
0.469224340767282,0.275449198419748,0.379818867172804,0.48418853592586,11,"load-activated"
0.469900689558692,0.29491560475719,0.391851482322598,0.488787359888005,12,"load-activated"
0.482784936094959,0.302007272272286,0.397689892302584,0.493372512332882,13,"load-activated"
0.484425427747028,0.312964472857447,0.405148079264605,0.497331685671762,14,"load-activated"
0.49107409498529,0.326306543924199,0.412661625348669,0.499016706773138,15,"load-activated"
0.512431675253995,0.336411625983887,0.418632926538216,0.500854227092544,16,"load-deactivated"
0.512964162079961,0.345959539952517,0.424602465739359,0.503245391526201,17,"load-activated"
0.514110133298765,0.353633359175359,0.430356486919386,0.507079614663413,18,"load-activated"
0.517547798534481,0.366107759132574,0.438355260098422,0.51060276106427,19,"load-activated"
0.516214261809446,0.37130948278769,0.440167800170694,0.509026117553698,20,"load-activated"
0.526225825871049,0.377379806089393,0.444292102474272,0.511204398859151,21,"load-activated"
0.531394734806197,0.384877660040231,0.448948805288273,0.513019950536315,22,"load-activated"
0.530691374549098,0.384841232156509,0.450261051553722,0.515680870950935,23,"load-activated"
0.529541992538004,0.396314582248078,0.455450712498559,0.51458684274904,24,"load-activated"
0.527449188354486,0.401207037066069,0.457924258077273,0.514641479088477,25,"load-activated"
0.533141080063234,0.403845405387854,0.46136232180315,0.518879238218445,26,"load-activated"
0.52979337161681,0.407536449693122,0.464445278197424,0.521354106701726,27,"load-activated"
0.530831849533834,0.409274683512906,0.466309528439678,0.52334437336645,28,"load-activated"
0.531748558807973,0.414995805586714,0.468137815406044,0.521279825225375,29,"load-activated"
0.529059217672339,0.420036906816419,0.472315330042537,0.524593753268654,30,"load-activated"
0.526358635648225,0.419919705004842,0.473843720666539,0.527767736328237,31,"load-deactivated"
0.530705988065101,0.423767865998063,0.474257380594914,0.524746895191766,32,"load-activated"
0.531585999572102,0.427832340047158,0.478089622215018,0.528346904382877,33,"load-activated"
0.530424496547814,0.430318124958651,0.479749897249308,0.529181669539965,34,"load-activated"
0.528404924123277,0.432924251710934,0.480447270152374,0.527970288593815,35,"load-activated"
0.531933670711791,0.434725273082515,0.482587279344426,0.530449285606336,36,"load-activated"
0.531336357514607,0.435048344162648,0.483415814807591,0.531783285452535,37,"load-activated"
0.534018593024277,0.437717048068379,0.486256939065818,0.534796830063256,38,"load-deactivated"
0.541774556610069,0.441117235598546,0.486728672795315,0.532340109992085,39,"load-activated"
0.540633152324144,0.443602183094163,0.48826058943281,0.532918995771457,40,"load-activated"
0.539742100908121,0.44368878948526,0.4888707962314,0.53405280297754,41,"load-deactivated"
0.540937088616692,0.44452474473513,0.489817205486839,0.535109666238548,42,"load-activated"
0.540736573344632,0.446769596259303,0.491554832627526,0.536340068995749,43,"load-deactivated"
0.545387512173707,0.450370852752965,0.49300137921174,0.535631905670515,44,"load-activated"
0.542248877289896,0.452757118378944,0.494558056918693,0.536358995458442,45,"load-activated"
0.543124271189181,0.451104646111995,0.4947324257157,0.538360205319405,46,"load-deactivated"
0.540166533791126,0.453164782426509,0.496029706269591,0.538894630112673,47,"load-deactivated"
0.539708777243071,0.455472085940111,0.497822143387822,0.540172200835533,48,"load-activated"
0.539118491804976,0.454764698022959,0.497479019026853,0.540193340030746,49,"load-deactivated"
0.53796564434806,0.45792253116011,0.498950932874895,0.539979334589681,50,"load-activated"
0.533681330884939,0.458691217770265,0.500210436896301,0.541729656022337,51,"load-activated"
0.531238911996558,0.4638150739346,0.502662474714597,0.541509875494594,52,"load-deactivated"
0.533526970489126,0.462318575222271,0.501825930864871,0.54133328650747,53,"load-deactivated"
0.535646898519716,0.462160459359094,0.501860175084378,0.541559890809662,54,"load-activated"
0.533282348253889,0.463304964852722,0.502740902259045,0.542176839665368,55,"load-deactivated"
0.531250613602793,0.46529520685297,0.503801855144583,0.542308503436195,56,"load-activated"
0.530788008940055,0.465992494836185,0.505290243683698,0.544587992531211,57,"load-activated"
0.530727727407896,0.465851439984538,0.505733913906314,0.545616387828091,58,"load-deactivated"
0.530861692066367,0.46828922130952,0.50662307278479,0.54495692426006,59,"load-activated"
0.532629615827955,0.468570635587882,0.507676975721172,0.546783315854462,60,"load-deactivated"
