"observed","lower","mean","upper","idx","parcel_type"
0.240850798985084,-0.052566658446929,0.0604196614465563,0.173405981340042,1,"load-activated"
0.251607335048047,-0.0133397661155894,0.0969286394620893,0.207197045039768,2,"load-activated"
0.259134215677991,0.00881632458124176,0.121626780725764,0.234437236870287,3,"load-activated"
0.2596961008701,0.0392871165191187,0.140573206326439,0.241859296133759,4,"load-activated"
0.257399752589968,0.0593482081252909,0.154596194840376,0.24984418155546,5,"load-activated"
0.263714758682182,0.0764157438878848,0.165357462630974,0.254299181374064,6,"load-activated"
0.262544913110221,0.0900460136804015,0.175208041594387,0.260370069508373,7,"load-activated"
0.262602836428999,0.0978110261166703,0.182065162226057,0.266319298335443,8,"load-activated"
0.252395037939284,0.110937471269477,0.187031655451001,0.263125839632526,9,"load-activated"
0.248216758614786,0.122516603045741,0.195091935863677,0.267667268681612,10,"load-activated"
0.254270290330196,0.13026464653522,0.198524877649349,0.266785108763478,11,"load-activated"
0.254589018136237,0.133880736835321,0.202368630137178,0.270856523439035,12,"load-activated"
0.252296166838108,0.141048265284138,0.205796213494947,0.270544161705755,13,"load-activated"
0.250751188403821,0.149033225581416,0.208662586423132,0.268291947264847,14,"load-activated"
0.249829373115696,0.150746273393276,0.210569471189508,0.27039266898574,15,"load-activated"
0.247528934031415,0.15376092694188,0.21272855283781,0.27169617873374,16,"load-deactivated"
0.238957594006264,0.156966088613331,0.213275855578404,0.269585622543478,17,"load-activated"
0.241603353321616,0.163857716479208,0.216022277907995,0.268186839336781,18,"load-activated"
0.238439194747369,0.162528397794854,0.217382644758436,0.272236891722019,19,"load-activated"
0.243033077989674,0.166570121394513,0.217696929585539,0.268823737776565,20,"load-activated"
0.261097127870617,0.165674353193103,0.217371577807259,0.269068802421416,21,"load-activated"
0.259807923719343,0.169985100478573,0.219549175566055,0.269113250653537,22,"load-activated"
0.25373207268247,0.169631635177194,0.219824763942189,0.270017892707184,23,"load-activated"
0.251248311485989,0.172734292110839,0.220105974240688,0.267477656370537,24,"load-activated"
0.248904155391512,0.172292898749323,0.22000456308145,0.267716227413578,25,"load-activated"
0.248317467718361,0.175874753866212,0.222210933063186,0.26854711226016,26,"load-activated"
0.248333323554784,0.176428137868158,0.223321359830387,0.270214581792617,27,"load-activated"
0.246968432796814,0.174661896405824,0.221693051243824,0.268724206081823,28,"load-activated"
0.246101890889824,0.176666020388534,0.221319685513652,0.265973350638769,29,"load-activated"
0.245357234066749,0.176553078417448,0.222054181596433,0.267555284775417,30,"load-activated"
0.243450826879077,0.176861897006858,0.222305049883287,0.267748202759717,31,"load-deactivated"
0.23842068639241,0.178890745669698,0.223978171556545,0.269065597443393,32,"load-activated"
0.249154968906765,0.177113133204081,0.222373357728811,0.267633582253542,33,"load-activated"
0.250226920939362,0.175181388793005,0.220833684788806,0.266485980784607,34,"load-activated"
0.24527905040971,0.17924520808083,0.222695631540393,0.266146054999956,35,"load-activated"
0.243726943061356,0.174503283103093,0.220068549233427,0.265633815363762,36,"load-activated"
0.250515456434996,0.177561715535456,0.221964218843073,0.266366722150689,37,"load-activated"
0.25264207893627,0.178183822824026,0.222439410442893,0.26669499806176,38,"load-deactivated"
0.267211222400871,0.176928594069491,0.220189594379072,0.263450594688654,39,"load-activated"
0.263921441836043,0.175283053901597,0.219857123227657,0.264431192553718,40,"load-activated"
0.264568641246168,0.177344195959595,0.221537603085077,0.265731010210559,41,"load-deactivated"
0.256531133211258,0.175381187861557,0.218863899779836,0.262346611698116,42,"load-activated"
0.253820466690927,0.176912912615696,0.220628428651395,0.264343944687093,43,"load-deactivated"
0.249677779400014,0.17719595840296,0.22151505991953,0.265834161436101,44,"load-activated"
0.246796192664731,0.174869176529263,0.219642963792627,0.264416751055991,45,"load-activated"
0.249403205197464,0.175324834864352,0.220653224947172,0.265981615029991,46,"load-deactivated"
0.250583082888038,0.176288482878297,0.220670080098542,0.265051677318788,47,"load-deactivated"
0.246950321335314,0.173640335335486,0.219530532509291,0.265420729683096,48,"load-activated"
0.246489155055432,0.174479148131097,0.218841622754751,0.263204097378406,49,"load-deactivated"
0.246397780028157,0.173931400867114,0.219325969757196,0.264720538647279,50,"load-activated"
0.242448854897438,0.17481975905953,0.218075520726074,0.261331282392617,51,"load-activated"
0.243312354541023,0.173037718150554,0.217539803173421,0.262041888196288,52,"load-deactivated"
0.245934232488529,0.173560176852833,0.218959773483994,0.264359370115154,53,"load-deactivated"
0.243734808219858,0.174390407345584,0.218140479295077,0.26189055124457,54,"load-activated"
0.252157349439343,0.172380528073587,0.217562425127347,0.262744322181108,55,"load-deactivated"
0.252198310674026,0.170113611857255,0.215392937616813,0.260672263376371,56,"load-activated"
0.246647513544316,0.173256325951956,0.217408603306573,0.261560880661191,57,"load-activated"
0.237273376246854,0.171744325493098,0.21688094373168,0.262017561970263,58,"load-deactivated"
0.23742664966416,0.17103829092883,0.216717100364289,0.262395909799749,59,"load-activated"
0.236488830050635,0.169576064001607,0.216171343498602,0.262766622995597,60,"load-deactivated"
