"observed","lower","mean","upper","idx","parcel_type"
0.242204400604046,-0.0564796510158483,0.073369541559131,0.20321873413411,1,"load-activated"
0.271957482566863,-0.01810035277805,0.112805675444709,0.243711703667469,2,"load-activated"
0.270570673735208,0.0148923317687147,0.138262162758101,0.261631993747486,3,"load-activated"
0.266695061725965,0.0477070699173762,0.166279085661811,0.284851101406246,4,"load-activated"
0.270059804038831,0.0660813299089102,0.181069933525176,0.296058537141443,5,"load-activated"
0.292040366151418,0.0892848457845093,0.195109301894288,0.300933758004066,6,"load-activated"
0.289322740022706,0.104529972061094,0.208269819074977,0.312009666088861,7,"load-activated"
0.287316341306047,0.123089719403805,0.218003183345089,0.312916647286374,8,"load-activated"
0.284181468919008,0.134590799869001,0.227775459924407,0.320960119979813,9,"load-activated"
0.275332772151396,0.144642069339761,0.231137016096374,0.317631962852987,10,"load-activated"
0.303388554997913,0.1608913117809,0.240848501388063,0.320805690995226,11,"load-activated"
0.299114729784108,0.169203405166255,0.248093665415934,0.326983925665613,12,"load-activated"
0.294011588815258,0.181130439090862,0.252324188673869,0.323517938256876,13,"load-activated"
0.302317739056777,0.182197967559485,0.256413703807544,0.330629440055603,14,"load-activated"
0.300409426248044,0.192336054047816,0.260315244888965,0.328294435730114,15,"load-activated"
0.314246320837166,0.198005960018123,0.264549059997975,0.331092159977827,16,"load-deactivated"
0.310478772142431,0.204026331180467,0.268917932539397,0.333809533898327,17,"load-activated"
0.317285080620671,0.205220054307952,0.269882560216101,0.33454506612425,18,"load-activated"
0.310183642687857,0.212404099635214,0.275331961988736,0.338259824342259,19,"load-activated"
0.309614739397888,0.222108538288797,0.279114456472845,0.336120374656893,20,"load-activated"
0.309744061957008,0.219109576230186,0.278542600606872,0.337975624983558,21,"load-activated"
0.312230929357353,0.222758681522228,0.281235473799528,0.339712266076829,22,"load-activated"
0.313564629330971,0.227545162159461,0.28414527038794,0.34074537861642,23,"load-activated"
0.313587470740902,0.231467455367087,0.286316887058773,0.341166318750458,24,"load-activated"
0.311296376255932,0.231769403533184,0.287223702123917,0.342678000714649,25,"load-activated"
0.309474041041128,0.233591003653847,0.288937461697269,0.344283919740691,26,"load-activated"
0.306650822477463,0.235532695074063,0.289965780346597,0.34439886561913,27,"load-activated"
0.31891562276823,0.23431163983236,0.288969315192114,0.343626990551868,28,"load-activated"
0.318803178935324,0.242972162738491,0.293929942842571,0.344887722946651,29,"load-activated"
0.314314422678708,0.238516470309162,0.293024863964349,0.347533257619536,30,"load-activated"
0.313288162639761,0.242983371384424,0.294910700669984,0.346838029955543,31,"load-deactivated"
0.306094051972449,0.24815376124975,0.297446776540271,0.346739791830791,32,"load-activated"
0.302162921440311,0.249876557743006,0.298062900761533,0.346249243780061,33,"load-activated"
0.324468494039556,0.246136511364126,0.297867762703375,0.349599014042624,34,"load-activated"
0.321486580644643,0.248875389853987,0.299450698297412,0.350026006740837,35,"load-activated"
0.343218732811867,0.250565804567569,0.299410098954757,0.348254393341945,36,"load-activated"
0.340876670716967,0.251237994611621,0.300124699759237,0.349011404906852,37,"load-activated"
0.340061002678446,0.254256998067983,0.302133660495068,0.350010322922152,38,"load-deactivated"
0.33957215161246,0.257748779139118,0.303889609728049,0.350030440316979,39,"load-activated"
0.337346504323175,0.256575877877881,0.303146934621306,0.349717991364731,40,"load-activated"
0.331228252581097,0.256238558358471,0.303681311906423,0.351124065454375,41,"load-deactivated"
0.330811475333668,0.258840955362545,0.30526813537938,0.351695315396214,42,"load-activated"
0.332806321096037,0.258554385704456,0.304560571887481,0.350566758070506,43,"load-deactivated"
0.338191501769813,0.259893011522375,0.306991897455358,0.354090783388342,44,"load-activated"
0.335387561713667,0.260801100536412,0.305745230754441,0.35068936097247,45,"load-activated"
0.334556453362943,0.260348719564399,0.307215721875431,0.354082724186462,46,"load-deactivated"
0.331482902876607,0.259838095253426,0.30703634088633,0.354234586519235,47,"load-deactivated"
0.3351432177094,0.260841083061115,0.306971116803225,0.353101150545336,48,"load-activated"
0.331863676944742,0.264047891828653,0.308233039320478,0.352418186812303,49,"load-deactivated"
0.323377798683156,0.258878651235947,0.306817773808719,0.354756896381491,50,"load-activated"
0.317468522821901,0.264211720956623,0.309751415407819,0.355291109859016,51,"load-activated"
0.317408766312843,0.263781569525484,0.308251287336099,0.352721005146713,52,"load-deactivated"
0.311884336750853,0.262663876009342,0.308720696658959,0.354777517308576,53,"load-deactivated"
0.308262591235731,0.263456251970481,0.309352265768475,0.355248279566469,54,"load-activated"
0.315288659667894,0.264378515163278,0.308908649129936,0.353438783096595,55,"load-deactivated"
0.313958420676697,0.264311543031473,0.308966586798698,0.353621630565923,56,"load-activated"
0.314968404950615,0.265705254882894,0.309984497754602,0.354263740626311,57,"load-activated"
0.311552502959236,0.267175558077059,0.310571234327444,0.353966910577828,58,"load-deactivated"
0.307028674654257,0.266956933974384,0.309437565655117,0.35191819733585,59,"load-activated"
0.305158796381187,0.264759742159537,0.310532391228428,0.356305040297318,60,"load-deactivated"
