"observed","lower","mean","upper","idx","parcel_type"
0.228544622599277,-0.0476552085326802,0.0794772752556029,0.206609759043886,1,"load-activated"
0.296725037463412,-0.00641149150489642,0.117821638796262,0.24205476909742,2,"load-activated"
0.300766425624217,0.0257101920008981,0.150149792730495,0.274589393460092,3,"load-activated"
0.301491237812073,0.0573428774455182,0.176031755927787,0.294720634410057,4,"load-activated"
0.298718623165962,0.0843835744694866,0.195152444950115,0.305921315430744,5,"load-activated"
0.309009259960283,0.102924497364491,0.209596901071967,0.316269304779444,6,"load-activated"
0.304303798294247,0.122405664408734,0.220645268344454,0.318884872280174,7,"load-activated"
0.300880985110236,0.131791178645804,0.230881438433482,0.32997169822116,8,"load-activated"
0.294928112549931,0.146640017127202,0.236096894466251,0.325553771805299,9,"load-activated"
0.299112283729727,0.16292681221498,0.247636158115384,0.332345504015789,10,"load-activated"
0.311034579418729,0.176123345784651,0.2535999108907,0.331076475996748,11,"load-activated"
0.324164606821969,0.181840228234842,0.258818035761384,0.335795843287926,12,"load-activated"
0.320614986709072,0.191485275265155,0.263934373611874,0.336383471958594,13,"load-activated"
0.323141578006641,0.201565037325466,0.270275867059903,0.338986696794339,14,"load-activated"
0.334080221896747,0.20368466611548,0.273374772148802,0.343064878182124,15,"load-activated"
0.331523752297978,0.211425020427235,0.277165369393942,0.342905718360649,16,"load-deactivated"
0.333355231309628,0.21980732315625,0.282042782900787,0.344278242645323,17,"load-activated"
0.328847944354565,0.222061247146323,0.284552469764257,0.347043692382191,18,"load-activated"
0.324419274351187,0.22586720579461,0.285174366315189,0.344481526835768,19,"load-activated"
0.322001253656023,0.229416824221121,0.288132158202135,0.346847492183148,20,"load-activated"
0.334628712849913,0.234718807049007,0.290303504846106,0.345888202643205,21,"load-activated"
0.330587614715724,0.233847681838639,0.292562810393126,0.351277938947613,22,"load-activated"
0.332717682688227,0.238575076805106,0.294894916151356,0.351214755497606,23,"load-activated"
0.336822803961457,0.244269212367667,0.295975211555219,0.347681210742772,24,"load-activated"
0.328491746895913,0.245892063077493,0.297693395380008,0.349494727682523,25,"load-activated"
0.319134060517433,0.24761219552368,0.29890087529703,0.350189555070379,26,"load-activated"
0.318046418692599,0.25012084694034,0.301145304289196,0.352169761638051,27,"load-activated"
0.338133586895694,0.252576399326212,0.303288518318373,0.354000637310533,28,"load-activated"
0.333012984272889,0.252761336791237,0.303787162538774,0.354812988286312,29,"load-activated"
0.334031769397521,0.255316858058201,0.303967626093764,0.352618394129326,30,"load-activated"
0.334262220168489,0.255044491782174,0.304118753615938,0.353193015449703,31,"load-deactivated"
0.333615535094731,0.256665434122833,0.304781269419601,0.352897104716369,32,"load-activated"
0.328942019297497,0.258039928242818,0.306114371794155,0.354188815345493,33,"load-activated"
0.327861285741886,0.259964451815205,0.306646289912305,0.353328128009405,34,"load-activated"
0.32414065133366,0.259432631765202,0.306873140586342,0.354313649407481,35,"load-activated"
0.322292907197945,0.259436092787362,0.306786252524549,0.354136412261737,36,"load-activated"
0.3288925915941,0.26116817346938,0.307543004507368,0.353917835545356,37,"load-activated"
0.327953631564569,0.262018968196634,0.308894584676271,0.355770201155908,38,"load-deactivated"
0.326473745121609,0.262869663323132,0.309017398925076,0.355165134527021,39,"load-activated"
0.328143115408045,0.265874232242914,0.311176688245124,0.356479144247334,40,"load-activated"
0.331863941593642,0.265185174139192,0.31014652639948,0.355107878659768,41,"load-deactivated"
0.341537007101209,0.26588613318009,0.310909711086094,0.355933288992098,42,"load-activated"
0.347451262186169,0.265303342177811,0.310859192236834,0.356415042295857,43,"load-deactivated"
0.344790093216957,0.265881091376581,0.310925957834702,0.355970824292822,44,"load-activated"
0.343942628950021,0.269152516777306,0.312365277677221,0.355578038577137,45,"load-activated"
0.345918488626675,0.266981353830239,0.312950072638255,0.35891879144627,46,"load-deactivated"
0.341238610519471,0.270736943334709,0.314815296311149,0.358893649287589,47,"load-deactivated"
0.34072611167764,0.270146575994694,0.314275206110446,0.358403836226199,48,"load-activated"
0.341450106146637,0.267189837564802,0.312385138380626,0.35758043919645,49,"load-deactivated"
0.351163642811901,0.267809447277333,0.312744159574079,0.357678871870826,50,"load-activated"
0.345927612133736,0.268382319211167,0.311844971341374,0.355307623471581,51,"load-activated"
0.341933591619518,0.271837901897737,0.314327592821729,0.356817283745721,52,"load-deactivated"
0.340914748982409,0.270621116152511,0.314236170333706,0.357851224514901,53,"load-deactivated"
0.345683650538374,0.271887585440502,0.314456795071715,0.357026004702928,54,"load-activated"
0.351347097757439,0.268959482348548,0.313748266322435,0.358537050296321,55,"load-deactivated"
0.349429750796438,0.269282283476364,0.313275658163582,0.357269032850799,56,"load-activated"
0.350128284411281,0.270766712420518,0.315281575540336,0.359796438660154,57,"load-activated"
0.347292553053222,0.269771669976271,0.313548366055296,0.357325062134321,58,"load-deactivated"
0.341374113324264,0.270027180373338,0.313959859959315,0.357892539545293,59,"load-activated"
0.346573807823228,0.271082398553999,0.313811356156449,0.356540313758898,60,"load-deactivated"
