"network","es"
"Cont",0.497944792568514
"Cont",0.515356994551314
"Cont",0.518035382998766
"Cont",0.463629579667418
"Cont",0.466372924556525
"Cont",0.458233355140069
"Cont",0.455782310264109
"Cont",0.455125231442002
"Cont",0.420573561115716
"Cont",0.37169291728498
"Cont",0.329001605968487
"Cont",0.46245310429258
"Cont",0.428111475263682
"Cont",0.416143321011457
"Cont",0.409411335542288
"Cont",0.393209141743021
"Cont",0.355395351680553
"Cont",0.344323195037437
"Cont",0.427786475206431
"Cont",0.401095847043852
"Cont",0.407726515725253
"Cont",0.406903540467292
"Cont",0.40982366645666
"Cont",0.393196544327739
"Cont",0.374185936260597
"Cont",0.357263137937552
"Cont",0.366438393534849
"Cont",0.354115832370224
"Cont",0.385424629818439
"Cont",0.384326664411756
"Cont",0.40562921459103
"Cont",0.404432091396201
"Cont",0.411789860213906
"Cont",0.410080257752221
"Cont",0.404946814872328
"Cont",0.402389978170528
"Cont",0.438566384562987
"Cont",0.446542871942325
"Cont",0.47467755454508
"Cont",0.379670053880318
"Cont",0.399561705085661
"Cont",0.416732405007623
"Cont",0.423727250717
"Cont",0.443667794072904
"Cont",0.423480164556261
"Cont",0.443433527527863
"Cont",0.500988597787489
"Cont",0.55135971531775
"Cont",0.332512048955638
"Cont",0.358432311560386
"Cont",0.393945535551325
"Cont",0.403426334000971
"Cont",0.44043083250786
"Cont",0.44981181628214
"Cont",0.464655096721861
"Cont",0.540703873924289
"Cont",0.603857527173337
"Cont",0.323444459581728
"Cont",0.340677122906267
"Cont",0.369465493038785
"Cont",0.37666142665769
"Cont",0.415369801991964
"Cont",0.449589060964441
"Cont",0.499433710370437
"Cont",0.596663618741817
"Cont",0.337016861089709
"Cont",0.359924743793777
"Cont",0.367639397747164
"Cont",0.408370000883967
"Cont",0.471949634405613
"Cont",0.536969865035923
"Cont",0.619897659848672
"Cont",0.699005172698972
"Cont",0.342577823122881
"Cont",0.373668196987865
"Cont",0.375681391274275
"Cont",0.424590227540849
"Cont",0.494515425962319
"Cont",0.565967142172176
"Cont",0.61863235554315
"Cont",0.708326350299248
"Cont",0.402226865897489
"Cont",0.441222437274681
"Cont",0.512758330753352
"Cont",0.593032935860009
"Cont",0.645890685878653
"Cont",0.724320084370375
"Cont",0.522695263178566
"Cont",0.603379658118376
"Cont",0.678046195436497
"Cont",0.742968662001155
"Cont",0.592654517166331
"Cont",0.657969354559624
"Cont",0.736276775431036
"Cont",0.623009820664829
"Cont",0.540560926267546
"Cont",0.487716765614073
"Cont",0.441454250851128
"Cont",0.421270172078859
"Cont",0.33890983005252
"Cont",0.289513603209239
"Cont",0.261753814567124
"Cont",0.508163095862579
"Cont",0.452890478986543
"Cont",0.43254742529942
"Cont",0.424624514383696
"Cont",0.409337977220185
"Cont",0.413833378253217
"Cont",0.390428537749327
"Cont",0.310002309959485
"Cont",0.304310067353151
"Cont",0.266698628885474
"Cont",0.598269238875299
"Cont",0.530618773095286
"Cont",0.48017252574292
"Cont",0.432518162417296
"Cont",0.377983247024968
"Cont",0.323976608373356
"Cont",0.284213839477489
"Cont",0.262229176955455
"Cont",0.600854504525093
"Cont",0.519140597489964
"Cont",0.429520342470387
"Cont",0.400774706177947
"Cont",0.348023747058186
"Cont",0.288190821441259
"Cont",0.250939957728801
"Cont",0.242813107226402
"Cont",0.725087054019602
"Cont",0.670477033135119
"Cont",0.569410112070756
"Cont",0.465402464647297
"Cont",0.396997723069836
"Cont",0.360579674203658
"Cont",0.29964242522083
"Cont",0.244041070618723
"Cont",0.245751677156578
"Cont",0.238364815268597
"Cont",0.780752773700371
"Cont",0.734775240596356
"Cont",0.699489738026425
"Cont",0.636632339361738
"Cont",0.554921056280465
"Cont",0.470278945523991
"Cont",0.401655002054623
"Cont",0.334335065960691
"Cont",0.285433359247408
"Cont",0.244531374609297
"Cont",0.239628902074252
"Cont",0.788656169595241
"Cont",0.725115827228863
"Cont",0.669893847727469
"Cont",0.613068805857635
"Cont",0.505552823789787
"Cont",0.436289684627025
"Cont",0.376581392477447
"Cont",0.328582086161551
"Cont",0.280295231925117
"Cont",0.23249119726454
"Cont",0.7794153862176
"Cont",0.72176921556058
"Cont",0.678664463641622
"Cont",0.597832840047189
"Cont",0.483429618229769
"Cont",0.400416950387218
"Cont",0.361481008123568
"Cont",0.302837025025502
"Cont",0.230698546128254
"Cont",0.794304092494023
"Cont",0.720245466377267
"Cont",0.669296398112729
"Cont",0.581836499733411
"Cont",0.457923033286993
"Cont",0.377128577999947
"Cont",0.314766994203385
"Cont",0.230375007525653
"Cont",0.832968866330816
"Cont",0.731719955165335
"Cont",0.619486644085737
"Cont",0.538238308153026
"Cont",0.448946682378131
"Cont",0.333972353291326
"Cont",0.248192354947657
"Cont",0.618283603405583
"Cont",0.540561903809245
"Cont",0.411269802426073
"Cont",0.279762405895689
"Cont",0.34678749915279
"Cont",0.98868393909114
"Cont",1.05996174989916
"Cont",1.07010992031062
"Cont",0.944991048536676
"Cont",0.965369284781352
"Cont",0.978298191851342
"Cont",1.04490489699118
"Cont",1.01647236195475
"Cont",1.05286718672979
"Cont",1.0067542558928
"Cont",0.969192352336048
"Cont",1.00913625604594
"Cont",0.967181533803127
"Cont",0.924871194365621
"Cont",0.886470981558649
"Cont",0.79485497866828
"Cont",0.716727294639684
"Cont",0.618479492647962
"Cont",0.914641669185819
"Cont",0.882350785087736
"Cont",0.84518184620882
"Cont",0.792677671595982
"Cont",0.767957191242403
"Cont",0.763437565694492
"Cont",0.735477837224406
"Cont",0.716313315276188
"Cont",0.692377907024291
"Cont",0.913617555470116
"Cont",0.952726826236983
"Cont",0.939997354161194
"Cont",0.906076556639022
"Cont",0.846866820443432
"Cont",0.760721914848868
"Cont",0.664993064853865
"Cont",0.569551722442722
"Cont",0.8822961003455
"Cont",0.909600222802705
"Cont",0.88662357500907
"Cont",0.867187370046961
"Cont",0.79029721382701
"Cont",0.714376329060211
"Cont",0.648299234108662
"Cont",0.553574213580647
"Cont",0.849147352386131
"Cont",0.849840481232176
"Cont",0.862932009046309
"Cont",0.843606538984371
"Cont",0.757616322161643
"Cont",0.696676330371921
"Cont",0.619419479385492
"Cont",0.544217350032896
"Cont",0.81629695204353
"Cont",0.807279628232696
"Cont",0.82996517627728
"Cont",0.802757767208373
"Cont",0.739327594626764
"Cont",0.652066350714763
"Cont",0.56835039549676
"Cont",0.772810061981266
"Cont",0.758251213842016
"Cont",0.774669962604676
"Cont",0.774807563811142
"Cont",0.706696292888638
"Cont",0.610540419954083
"Cont",0.542058313282448
"Cont",0.729163822899622
"Cont",0.722836914947658
"Cont",0.713927917079663
"Cont",0.723799500582739
"Cont",0.681208825333359
"Cont",0.58902392442187
"Cont",0.701816930312699
"Cont",0.691435150054226
"Cont",0.670962906367809
"Cont",0.639319852075382
"Cont",0.617541439417937
"Cont",0.68841121021625
"Cont",0.678288030258123
"Cont",0.624544016039319
"Cont",0.546797709176587
"Cont",0.525100477655954
"Cont",0.665587882453459
"Cont",0.627858453935921
"Cont",0.554118110394317
"Cont",0.490076368168686
"Cont",0.601867727162857
"Cont",0.541009630622659
"Cont",0.482208528476423
"Cont",0.452492393591525
"Cont",1.06556785065499
"Cont",1.06118229542537
"Cont",1.03857288081981
"Cont",1.10898898904154
"Cont",1.10644662844821
"Cont",1.14847818625944
"Cont",1.09023445615334
"Cont",0.757900292776066
"Cont",0.837934398887418
"Cont",0.908450566946214
"Cont",0.88329349402737
"Cont",0.99331733558782
"Cont",0.950341209511335
"Cont",1.05053908871399
"Cont",1.02790725180127
"Cont",1.02338259690709
"Cont",0.923008346560886
"Cont",0.894788181809436
"Cont",0.837727350470127
"Cont",0.781326067063435
"Cont",0.75924175892991
"Cont",0.750773778998124
"Cont",0.721196586838741
"Cont",0.665528053468675
"Cont",0.920608261807153
"Cont",0.880344595987264
"Cont",0.844966389224603
"Cont",0.807652762325473
"Cont",0.764252008391189
"Cont",0.734211954689953
"Cont",0.688848725240478
"Cont",0.897477274486089
"Cont",0.860605359416836
"Cont",0.813539577240302
"Cont",0.804949694712699
"Cont",0.757737210278604
"Cont",0.932523107599548
"Cont",0.887365765819392
"Cont",0.833803988773305
"Cont",0.732340877513971
"Cont",0.800043879562282
"Cont",0.83307753326587
"Cont",0.919807990466485
"Cont",0.582486100690944
"Cont",0.649901305897223
"Cont",0.72339194777849
"Cont",0.753480919227227
"Cont",0.797322075033228
"Cont",0.859221058581734
"Cont",0.873837545107601
"Cont",0.892979503089795
"Cont",0.91541716325224
"Cont",0.947788595022277
"Cont",0.523989162640744
"Cont",0.585658888355969
"Cont",0.677734742758986
"Cont",0.713831068352076
"Cont",0.767975559728975
"Cont",0.789844107580493
"Cont",0.811836171564282
"Cont",0.850661092047409
"Cont",0.909664671233342
"Cont",0.928487391186132
"Cont",0.951955949471094
"Cont",0.974510664772384
"Cont",0.567403379194519
"Cont",0.614994472311752
"Cont",0.663901818119459
"Cont",0.73911140887895
"Cont",0.784847377042368
"Cont",0.821630412810801
"Cont",0.838166394696831
"Cont",0.862135623771793
"Cont",0.875268233014321
"Cont",0.920882685747631
"Cont",0.932842081748938
"Cont",0.955378299200962
"Cont",0.977380284855921
"Cont",0.978208626579713
"Cont",0.629384015573471
"Cont",0.685958259360906
"Cont",0.75212952080267
"Cont",0.828874739521988
"Cont",0.848209334130126
"Cont",0.867767857396309
"Cont",0.897108920228036
"Cont",0.922797639465637
"Cont",0.90610924066244
"Cont",0.920700568780454
"Cont",0.924422415172674
"Cont",0.925949673225321
"Cont",0.947290157997156
"Cont",0.956180341012063
"Cont",0.650019732437299
"Cont",0.671326324781434
"Cont",0.735309902313518
"Cont",0.808640453615726
"Cont",0.876035508331785
"Cont",0.899159192895526
"Cont",0.903394834811756
"Cont",0.925118788398132
"Cont",0.939769345218974
"Cont",0.919299301295832
"Cont",0.916500767429297
"Cont",0.92304476573104
"Cont",0.911667816769855
"Cont",0.927714250363003
"Cont",0.943888328267492
"Cont",0.974632290052214
"Cont",0.745627940546955
"Cont",0.786580852757505
"Cont",0.869201043709169
"Cont",0.91086996944578
"Cont",0.922709304141547
"Cont",0.919404284443514
"Cont",0.910959534094315
"Cont",0.92338584507918
"Cont",0.909030434893116
"Cont",0.904132985389661
"Cont",0.896180958719357
"Cont",0.914521254361594
"Cont",0.926667760465636
"Cont",0.950992890558414
"Cont",0.981803602925526
"Cont",0.784772455586665
"Cont",0.824243542687141
"Cont",0.882755029147796
"Cont",0.903686181933254
"Cont",0.923582221906726
"Cont",0.943615502749305
"Cont",0.916096338122575
"Cont",0.925717135377058
"Cont",0.915210358703832
"Cont",0.914185514937209
"Cont",0.878009790161459
"Cont",0.897099241083493
"Cont",0.929327654543661
"Cont",0.954843329891382
"Cont",0.957543207018205
"Cont",0.798404506631879
"Cont",0.823400877359672
"Cont",0.847546395457968
"Cont",0.873744168723343
"Cont",0.915116217858067
"Cont",0.9672614986499
"Cont",0.951595983875954
"Cont",0.929678969371894
"Cont",0.923272379113839
"Cont",0.922366414684222
"Cont",0.893973647993452
"Cont",0.893587054196847
"Cont",0.930317772369133
"Cont",0.947266475565222
"Cont",0.948610558305737
"Cont",0.999642700843591
"Cont",0.792772764586799
"Cont",0.823559716796724
"Cont",0.839316981601928
"Cont",0.875157040678378
"Cont",0.909808851485895
"Cont",0.9646777832698
"Cont",0.969134945278419
"Cont",0.960709146221443
"Cont",0.941573285319717
"Cont",0.948600047676213
"Cont",0.924328670568619
"Cont",0.927559870865285
"Cont",0.953763879982807
"Cont",0.944445474901267
"Cont",0.94200350928659
"Cont",1.01084160706108
"Cont",1.05349193837372
"Cont",0.769222452315162
"Cont",0.793557199438756
"Cont",0.814274811908156
"Cont",0.852194895517145
"Cont",0.882230612961002
"Cont",0.927736467281326
"Cont",0.949134247697356
"Cont",0.932946516443211
"Cont",0.921280828529169
"Cont",0.921673844297118
"Cont",0.913345280044303
"Cont",0.924352810118026
"Cont",0.947672978366043
"Cont",0.945911993492735
"Cont",0.951891218940068
"Cont",1.00746621115888
"Cont",1.03916700898871
"Cont",0.752848011663059
"Cont",0.780989373786798
"Cont",0.815458549247072
"Cont",0.839830374387742
"Cont",0.836773651324685
"Cont",0.856291188227043
"Cont",0.889034630850932
"Cont",0.887701939681523
"Cont",0.883060448349403
"Cont",0.864769669595746
"Cont",0.84652007734651
"Cont",0.866622321918662
"Cont",0.91244264839219
"Cont",0.931291918708176
"Cont",0.945746150324716
"Cont",0.994116239682896
"Cont",0.785579801242661
"Cont",0.809329096831217
"Cont",0.819973693942079
"Cont",0.838091804409665
"Cont",0.864621389595812
"Cont",0.867138268160058
"Cont",0.861054452955911
"Cont",0.855114330986896
"Cont",0.820938802708879
"Cont",0.835596716734801
"Cont",0.872600519041737
"Cont",0.909797061227779
"Cont",0.776061324332171
"Cont",0.793701096861636
"Cont",1.18037524048536
"Cont",1.18978195880203
"Cont",1.14560524430471
"Cont",1.14704879844613
"Cont",1.12852582113407
"Cont",1.07376569407633
"Cont",1.13077224496641
"Cont",1.10568019197128
"Cont",1.00163439535703
"Cont",1.02241350452608
"Cont",1.08220847395152
"Cont",1.10991774849882
"Cont",1.14514683414768
"Cont",1.17077328381482
"Cont",1.13005550800575
"Cont",0.906630845603361
"Cont",0.953469405540903
"Cont",0.999662791266334
"Cont",1.04170473170565
"Cont",1.1058041243956
"Cont",1.13766768520097
"Cont",1.18974881294266
"Cont",1.21503902106954
"Cont",1.15004190236872
"Cont",0.967604378134192
"Cont",0.980855765164228
"Cont",1.00284136602941
"Cont",1.01680034843766
"Cont",1.04559198116981
"Cont",1.10730965940336
"Cont",1.16040245163631
"Cont",1.17977593901645
"Cont",1.19994773864866
"Cont",1.15196641587482
"Cont",0.969066810231046
"Cont",0.993700593985524
"Cont",0.989362121804842
"Cont",1.01186412913114
"Cont",1.01670177754078
"Cont",1.03706187790673
"Cont",1.1115190794924
"Cont",1.18006090716367
"Cont",1.18668640023262
"Cont",1.17984451887479
"Cont",1.15554727744768
"Cont",0.987494755317562
"Cont",0.996174093025937
"Cont",0.992583789547008
"Cont",1.01431294628334
"Cont",1.03898035720421
"Cont",1.0626381772256
"Cont",1.11304446799629
"Cont",1.14006461721013
"Cont",1.16241592091999
"Cont",1.13662225680778
"Cont",1.15744743959287
"Cont",1.00277735526876
"Cont",0.983143789325351
"Cont",0.962892199988262
"Cont",1.00283425245828
"Cont",1.05610029965865
"Cont",1.07871159038373
"Cont",1.11494997707558
"Cont",1.11589894653244
"Cont",1.13625393939985
"Cont",1.10937590037943
"Cont",1.13154066922435
"Cont",0.970601125548742
"Cont",0.964099508903087
"Cont",0.985625802771053
"Cont",1.04805343267735
"Cont",1.07271718635255
"Cont",1.10032494798489
"Cont",1.11013093522046
"Cont",1.12229441275545
"Cont",1.11081107609143
"Cont",1.12047621477903
"Cont",0.961952417752429
"Cont",0.989473447152596
"Cont",1.00745900824595
"Cont",1.04640171165181
"Cont",1.07085290126213
"Cont",1.09898491383665
"Cont",1.10253306147808
"Cont",1.13652555857148
"Cont",1.14931330282342
"Cont",1.13170469906031
"Cont",1.02579347000127
"Cont",1.0416924106024
"Cont",1.05474025148574
"Cont",1.0790199240631
"Cont",1.10260449216642
"Cont",1.09976636105642
"Cont",1.1246758549316
"Cont",1.16301913338138
"Cont",1.01774229791307
"Cont",1.03556183030459
"Cont",1.052608568741
"Cont",1.07345229962836
"Cont",1.06561162933074
"Cont",1.04207272744102
"Cont",1.06879489226034
"Cont",1.1253512908374
"Cont",1.00309595277426
"Cont",1.02185081333324
"Cont",1.04630282389362
"Cont",1.04922286494764
"Cont",1.01218946397015
"Cont",0.997332011249585
"Cont",1.02131623346597
"Cont",1.0478826882143
"Cont",1.04811736467809
"Cont",1.046230039206
"Cont",1.00970844437682
"Cont",1.04318839406533
"Cont",1.02555896282533
"Cont",1.0627336676177
"Cont",1.08701227619366
"Cont",1.11427161498769
"Cont",1.15106479718067
"Cont",0.998752581852894
"Cont",1.00622642438692
"Cont",1.01267420517058
"Cont",1.04517108934707
"Cont",1.01771630078632
"Cont",1.01264842559056
"Cont",0.994373238873408
"Cont",0.996978340114483
"Cont",0.993063016570958
"Cont",1.01819436963084
"Cont",1.00489931044734
"Cont",1.01182091497997
"Cont",1.04100620041212
"Cont",1.07684625245204
"Cont",1.11312568108509
"Cont",1.15024323246068
"Cont",1.15562366738733
"Cont",1.1478803993402
"Cont",0.940607792311149
"Cont",0.959569329463335
"Cont",0.975592049576848
"Cont",0.963172935398014
"Cont",1.0032742775378
"Cont",1.05292587496683
"Cont",1.06897402157493
"Cont",1.0571514840039
"Cont",1.05906676325011
